,City,Country,Longitude,Latitude,Date,Cloudiness,Temperature Max,Humidity,Wind speed
0,torbay,CA,-52.73,47.66,1551153763,75.0,30.99,92.0,14.99
1,hermanus,ZA,19.24,-34.42,1551153751,56.0,66.99,93.0,5.99
2,bredasdorp,ZA,20.04,-34.53,1551153751,64.0,66.99,93.0,5.99
3,grindavik,IS,-22.43,63.84,1551151800,90.0,44.6,100.0,11.41
4,barrow,AR,-60.23,-38.31,1551154221,32.0,48.33,69.0,11.32
5,surt,LY,16.59,31.21,1551154222,92.0,53.73,100.0,9.98
6,attawapiskat,,,,,,,,
7,awbari,LY,12.77,26.59,1551154222,0.0,37.71,85.0,2.82
8,denpasar,ID,115.22,-8.65,1551150000,20.0,87.8,74.0,10.29
9,provideniya,RU,-173.23,64.42,1551151800,90.0,32.0,93.0,26.84
10,ushuaia,AR,-68.31,-54.81,1551153600,40.0,46.4,81.0,32.21
11,rincon,US,-81.24,32.3,1551154104,1.0,53.01,75.0,3.6
12,kodiak,US,-94.76,39.95,1551154129,90.0,28.99,33.0,18.34
13,nuevo casas grandes,MX,-107.91,30.42,1551154144,24.0,40.64,44.0,6.4
14,kruisfontein,ZA,24.73,-34.0,1551154223,12.0,61.56,84.0,8.86
15,barawe,,,,,,,,
16,sisimiut,GL,-53.67,66.94,1551153959,80.0,1.08,88.0,1.14
17,saleaula,,,,,,,,
18,mataura,NZ,168.86,-46.19,1551154206,12.0,64.0,65.0,10.0
19,ondangwa,NA,15.98,-17.91,1551150000,44.0,78.8,44.0,8.05
20,ribeira grande,PT,-28.7,38.52,1551154224,36.0,55.71,100.0,30.22
21,fortuna,ES,-1.13,38.18,1551154223,0.0,46.99,65.0,5.82
22,hithadhoo,MV,73.08,-0.6,1551154224,88.0,78.75,100.0,8.97
23,kavieng,PG,150.8,-2.57,1551154224,32.0,81.54,100.0,6.4
24,gimli,CA,-96.99,50.63,1551154205,0.0,-7.01,75.0,3.0
25,saint george,GR,22.34,39.45,1551153801,20.0,37.4,64.0,9.17
26,punta arenas,CL,-70.91,-53.16,1551153795,40.0,50.0,81.0,21.92
27,bacungan,PH,118.73,9.87,1551153600,20.0,87.8,55.0,17.22
28,shelburne,CA,-80.2,44.08,1551154209,90.0,18.0,67.0,13.87
29,sarahan,IN,77.79,31.51,1551154226,64.0,3.47,90.0,0.81
30,mangrol,IN,76.51,25.33,1551154226,64.0,61.11,50.0,1.03
31,dunedin,NZ,170.5,-45.87,1551153703,24.0,64.99,65.0,7.0
32,smolensk,RU,32.05,54.79,1551153936,92.0,32.72,93.0,14.0
33,taolanaro,,,,,,,,
34,tumannyy,,,,,,,,
35,hami,CN,93.51,42.84,1551154227,0.0,28.4,54.0,8.41
36,vaini,IN,74.49,15.34,1551154227,0.0,71.1,60.0,2.26
37,lamar,US,-102.62,38.09,1551151920,90.0,15.8,78.0,14.99
38,harlingen,US,-97.7,26.19,1551154221,90.0,69.01,93.0,8.05
39,albany,US,-73.75,42.65,1551154092,90.0,26.6,57.0,23.04
40,barentsburg,,,,,,,,
41,cape town,ZA,18.42,-33.93,1551153967,75.0,69.01,100.0,12.75
42,bluff,AU,149.07,-23.58,1551154228,8.0,89.01,36.0,10.76
43,rock sound,BS,-76.2,24.9,1551154060,36.0,76.23,100.0,14.79
44,aksarka,RU,67.8,66.56,1551154228,88.0,11.07,100.0,26.42
45,baft,IR,56.61,29.23,1551154054,0.0,9.9,66.0,3.38
46,saskylakh,RU,114.09,71.97,1551154228,12.0,-19.44,54.0,3.04
47,atuona,PF,-139.03,-9.8,1551154228,0.0,81.45,100.0,6.73
48,eureka,US,-124.16,40.8,1551154205,90.0,44.6,100.0,4.7
49,jamestown,AU,138.6,-33.21,1551154191,0.0,89.64,22.0,8.3
50,tuktoyaktuk,CA,-133.03,69.44,1551150000,20.0,6.8,84.0,9.17
51,san juan,AR,-68.53,-31.54,1551154135,0.0,56.16,41.0,4.94
52,carballo,ES,-8.69,43.21,1551154198,0.0,51.01,87.0,5.82
53,kandrian,PG,149.55,-6.21,1551154231,32.0,80.37,99.0,2.93
54,dikson,RU,80.55,73.51,1551154231,80.0,11.61,90.0,9.53
55,kapaa,US,-159.32,22.08,1551154096,90.0,75.2,60.0,14.99
56,guerrero negro,MX,-114.04,27.97,1551154233,0.0,54.05,80.0,9.08
57,ostrovnoy,RU,39.51,68.05,1551154233,80.0,22.05,89.0,12.66
58,bratsk,RU,101.63,56.15,1551153796,76.0,17.6,57.0,8.95
59,mar del plata,AR,-67.52,-46.43,1551154233,68.0,48.96,83.0,5.17
60,lavrentiya,RU,-170.99,65.58,1551154234,88.0,32.99,96.0,23.51
61,ranghulu,CN,124.88,46.63,1551154234,0.0,30.96,50.0,4.72
62,katsuura,JP,134.5,33.93,1551152539,20.0,53.01,50.0,14.99
63,doembang nangbuat,TH,100.1,14.85,1551154234,92.0,82.17,77.0,5.61
64,tvedestrand,NO,8.93,58.62,1551153641,0.0,42.01,93.0,6.93
65,vostok,RU,135.83,46.45,1551154235,0.0,21.29,54.0,5.39
66,puerto leguizamo,CO,-74.78,-0.19,1551154235,12.0,80.91,64.0,2.82
67,port alfred,ZA,26.89,-33.59,1551154223,88.0,69.01,92.0,10.0
68,warqla,,,,,,,,
69,klaksvik,FO,-6.59,62.23,1551153000,92.0,48.2,81.0,19.46
70,cap malheureux,MU,57.61,-19.98,1551154142,40.0,82.0,88.0,6.93
71,biskamzha,RU,89.53,53.45,1551154236,20.0,18.32,81.0,3.04
72,east london,ZA,27.91,-33.02,1551150000,0.0,69.8,94.0,5.82
73,asayita,,,,,,,,
74,aklavik,CA,-135.01,68.22,1551150000,40.0,19.4,85.0,3.36
75,yellowknife,CA,-114.38,62.45,1551153804,40.0,-2.01,83.0,5.82
76,cooma,AU,149.13,-36.24,1551150000,32.0,84.2,18.0,14.99
77,busselton,AU,115.35,-33.64,1551154205,80.0,95.0,18.0,4.16
78,naze,NG,7.07,5.43,1551154237,92.0,72.27,98.0,4.61
79,rikitea,PF,-134.97,-23.12,1551154237,80.0,80.42,100.0,11.43
80,meulaboh,ID,96.13,4.14,1551154237,32.0,82.49,100.0,2.71
81,chokurdakh,RU,147.9,70.62,1551154237,8.0,-29.39,47.0,2.93
82,qeshm,IR,56.27,26.96,1551151800,0.0,59.0,93.0,4.7
83,mayo,CA,-135.9,63.59,1551150000,40.0,-4.01,83.0,2.71
84,skalistyy,,,,,,,,
85,ust-kuyga,RU,135.55,70.0,1551154238,0.0,-22.41,63.0,2.93
86,talaya,RU,84.89,55.79,1551154230,40.0,15.01,78.0,15.66
87,tuatapere,NZ,167.69,-46.13,1551154206,24.0,64.0,65.0,10.0
88,lebu,ET,38.73,8.96,1551150000,20.0,57.2,71.0,4.7
89,sao gabriel da cachoeira,BR,-67.09,-0.13,1551154239,8.0,76.5,92.0,1.92
90,dessalines,HT,-72.52,19.26,1551154239,0.0,72.63,82.0,8.63
91,takoradi,GH,-1.75,4.89,1551154239,20.0,81.63,100.0,10.65
92,marawi,PH,124.29,8.0,1551153646,0.0,80.01,67.0,5.99
93,rawson,AR,-65.11,-43.3,1551154240,0.0,48.74,58.0,8.63
94,chimbote,PE,-78.59,-9.08,1551154240,8.0,71.46,92.0,6.85
95,mount gambier,AU,140.78,-37.83,1551150000,0.0,77.0,47.0,18.34
96,tevriz,RU,72.4,57.51,1551154240,88.0,17.37,82.0,6.62
97,skjervoy,NO,20.97,70.03,1551154241,88.0,35.1,100.0,19.15
98,severo-kurilsk,RU,156.12,50.68,1551154241,64.0,22.59,100.0,13.33
99,saint-philippe,CA,-73.48,45.36,1551153940,90.0,16.0,56.0,10.29
100,avarua,CK,-159.78,-21.21,1551151800,0.0,82.4,65.0,12.75
101,talnakh,RU,88.39,69.49,1551154241,80.0,12.24,82.0,25.64
102,chuy,UY,-53.46,-33.69,1551154241,0.0,57.24,91.0,10.42
103,sept-iles,CA,-66.38,50.2,1551153673,90.0,18.0,85.0,4.7
104,yanchukan,,,,,,,,
105,lumsden,CA,-104.86,50.65,1551153772,90.0,-18.01,75.0,4.7
106,illoqqortoormiut,,,,,,,,
107,sarreguemines,FR,7.07,49.11,1551154150,0.0,46.0,56.0,9.17
108,la ronge,CA,-105.3,55.1,1551150000,20.0,-2.21,58.0,4.7
109,bethel,US,-161.76,60.79,1551153360,90.0,39.2,74.0,17.22
110,port elizabeth,US,-74.98,39.31,1551154240,1.0,37.99,34.0,11.41
111,kirakira,SB,161.92,-10.46,1551154243,20.0,82.67,100.0,13.67
112,hamilton,CA,-79.87,43.26,1551154004,90.0,21.2,67.0,16.11
113,georgetown,GY,-58.16,6.8,1551153600,40.0,73.4,94.0,6.93
114,porto santo,,,,,,,,
115,nikolskoye,RU,30.79,59.7,1551154234,75.0,35.01,86.0,11.18
116,lasa,CY,32.53,34.92,1551153614,20.0,64.4,63.0,11.41
117,touros,BR,-35.46,-5.2,1551153600,40.0,78.8,94.0,12.75
118,champerico,MX,-93.6,16.38,1551153060,5.0,73.4,73.0,3.36
119,new norfolk,AU,147.06,-42.78,1551154214,75.0,66.0,55.0,16.11
120,iqaluit,CA,-68.52,63.75,1551153771,40.0,-14.01,75.0,3.36
121,hilo,US,-155.08,19.71,1551154037,75.0,73.4,64.0,6.93
122,pangody,RU,74.49,65.85,1551154245,92.0,17.55,85.0,20.27
123,sentyabrskiy,,,,,,,,
124,richards bay,ZA,32.06,-28.77,1551154246,0.0,73.08,87.0,12.55
125,yeletskiy,,,,,,,,
126,gravatai,BR,-50.99,-29.94,1551153982,90.0,66.99,93.0,6.93
127,bud,NO,6.91,62.91,1551153686,68.0,42.8,86.0,5.82
128,winnemucca,US,-117.74,40.97,1551153650,88.0,44.01,58.0,11.01
129,suclayin,PH,121.55,15.76,1551154246,64.0,77.45,100.0,14.67
130,huesca,ES,-0.41,42.14,1551153915,0.0,48.0,78.0,1.12
131,satka,RU,59.03,55.04,1551154246,24.0,-5.54,53.0,2.59
132,eyl,SO,49.82,7.98,1551154246,92.0,75.24,100.0,13.67
133,gigmoto,PH,124.39,13.78,1551154247,8.0,78.44,96.0,10.98
134,orbetello,IT,11.21,42.44,1551154108,0.0,46.4,65.0,2.24
135,linjiang,CN,126.91,41.81,1551154247,0.0,28.62,73.0,3.6
136,hobyo,SO,48.53,5.35,1551154247,92.0,76.77,91.0,14.79
137,joao camara,BR,-35.82,-5.54,1551153600,40.0,78.8,94.0,12.75
138,marcona,,,,,,,,
139,kingsport,US,-82.56,36.55,1551154024,1.0,39.2,69.0,1.7
140,terrace,CA,-128.61,54.52,1551153611,5.0,27.0,41.0,14.99
141,ponta do sol,BR,-46,-20.63,1551154248,8.0,66.42,95.0,3.38
142,cam ranh,VN,109.15,11.92,1551153600,20.0,87.8,58.0,11.41
143,pevek,RU,170.27,69.7,1551154248,64.0,-9.14,99.0,7.74
144,khatanga,RU,102.47,71.98,1551154248,36.0,-17.55,49.0,5.5
145,cherskiy,RU,161.3,68.75,1551154248,8.0,-17.55,75.0,3.27
146,husavik,CA,-96.99,50.56,1551154205,0.0,-7.01,75.0,3.0
147,lakes entrance,AU,147.99,-37.88,1551154119,12.0,91.0,48.0,6.4
148,asau,,,,,,,,
149,hobart,AU,147.33,-42.88,1551153974,75.0,66.0,59.0,8.05
150,miranorte,,,,,,,,
151,hofn,IS,-15.21,64.25,1551154249,92.0,44.1,91.0,44.43
152,nguiu,,,,,,,,
153,lulea,SE,22.15,65.58,1551153000,48.0,32.0,92.0,4.7
154,belushya guba,,,,,,,,
155,abha,SA,42.5,18.22,1551150000,0.0,57.2,71.0,2.37
156,talara,PE,-81.27,-4.58,1551154250,24.0,75.02,85.0,5.39
157,ucluelet,CA,-125.55,48.94,1551153625,44.0,33.01,76.0,1.92
158,pereira barreto,BR,-51.11,-20.64,1551154250,8.0,80.37,75.0,6.96
159,oranjemund,ZA,16.43,-28.55,1551154250,92.0,63.81,95.0,9.08
160,roald,NO,6.12,62.58,1551154205,76.0,46.0,81.0,6.93
161,porto belo,BR,-48.54,-27.15,1551154148,90.0,72.0,83.0,10.29
162,norman wells,CA,-126.83,65.28,1551150000,40.0,21.2,85.0,12.75
163,yerbogachen,RU,108.01,61.28,1551154251,36.0,17.69,65.0,8.75
164,qaanaaq,GL,-69.36,77.48,1551154251,0.0,-15.17,86.0,5.73
165,funadhoo,MV,73.27,6.15,1551154251,8.0,81.54,100.0,9.64
166,kalmunai,LK,81.82,7.42,1551154217,24.0,79.65,92.0,3.83
167,airai,TL,125.41,-8.93,1551154251,36.0,81.54,77.0,0.69
168,palabuhanratu,,,,,,,,
169,kulhudhuffushi,MV,73.07,6.62,1551154251,0.0,81.27,100.0,8.41
170,bairiki,,,,,,,,
171,namatanai,PG,152.44,-3.66,1551154252,36.0,83.12,100.0,5.39
172,orebro,SE,15.21,59.27,1551154244,44.0,43.0,60.0,5.82
173,skagastrond,,,,,,,,
174,santiago de cao,PE,-79.24,-7.96,1551153600,75.0,73.4,88.0,5.82
175,nome,US,-94.42,30.04,1551154214,90.0,55.99,87.0,6.93
176,atbasar,KZ,68.36,51.81,1551154252,92.0,13.5,83.0,3.71
177,luderitz,NA,15.16,-26.65,1551154253,0.0,64.22,67.0,12.1
178,poddorye,RU,31.12,57.47,1551154253,76.0,33.62,95.0,13.0
179,sawakin,SD,37.33,19.1,1551154253,12.0,63.95,100.0,3.71
180,iquitos,PE,-73.25,-3.75,1551153600,0.0,75.2,94.0,3.36
181,lorengau,PG,147.27,-2.02,1551154253,44.0,83.34,96.0,5.73
182,tawkar,,,,,,,,
183,riyadh,SA,46.72,24.63,1551153600,0.0,53.6,57.0,2.24
184,crotone,IT,17.12,39.09,1551154060,0.0,50.54,100.0,23.73
185,yola,NG,12.45,9.26,1551154254,56.0,70.07,94.0,2.71
186,monteagudo,BO,-63.96,-19.8,1551154254,92.0,59.9,99.0,2.15
187,vaitupu,,,,,,,,
188,narasannapeta,IN,84.04,18.42,1551154258,92.0,76.14,86.0,3.38
189,noumea,NC,166.46,-22.28,1551151800,75.0,73.4,88.0,23.04
190,opuwo,NA,13.84,-18.06,1551154258,36.0,73.53,41.0,4.16
191,chauk,MM,94.82,20.89,1551154258,8.0,79.56,56.0,5.5
192,esperance,TT,-61.45,10.24,1551154207,75.0,75.2,88.0,8.05
193,sinjah,,,,,,,,
194,gelemso,ET,40.52,8.81,1551154258,0.0,46.44,73.0,1.92
195,corn island,NI,-83.04,12.17,1551154259,12.0,80.91,97.0,23.17
196,kiunga,PG,141.3,-6.12,1551154259,92.0,77.4,93.0,2.93
197,samusu,,,,,,,,
198,okhotsk,RU,143.24,59.36,1551154259,0.0,4.82,100.0,5.73
199,manakara,MG,48.01,-22.14,1551154259,76.0,75.74,100.0,4.83
200,pisco,PE,-76.2,-13.71,1551153600,0.0,75.2,73.0,6.93
201,zaozerne,UA,23.94,51.37,1551154260,64.0,31.5,94.0,12.21
202,niono,ML,-5.99,14.25,1551154260,0.0,56.97,28.0,11.65
203,aquiraz,BR,-38.39,-3.9,1551153600,20.0,77.0,88.0,2.24
204,lufilufi,WS,-171.6,-13.87,1551153790,90.0,82.4,83.0,25.28
205,nuevitas,CU,-77.27,21.55,1551149400,5.0,73.4,88.0,12.75
206,sorland,NO,12.69,67.67,1551153000,75.0,35.6,100.0,20.8
207,vanavara,RU,102.28,60.35,1551154261,36.0,16.83,72.0,7.52
208,vanimo,PG,141.3,-2.67,1551154261,64.0,81.95,100.0,4.94
209,narsaq,GL,-46.05,60.91,1551149400,80.0,37.4,29.0,20.8
210,cidreira,BR,-50.22,-30.17,1551154261,88.0,68.45,87.0,6.85
211,sinjai,ID,120.25,-5.12,1551154261,48.0,83.43,76.0,3.71
212,sovetskiy,RU,48.47,56.76,1551154262,92.0,22.37,91.0,9.19
213,morgan city,US,-91.21,29.7,1551154261,90.0,54.0,87.0,13.87
214,charleston,US,-81.63,38.35,1551154049,1.0,30.99,54.0,3.36
215,castro,CL,-73.76,-42.48,1551153600,75.0,51.8,81.0,12.75
216,umzimvubu,,,,,,,,
217,havoysund,NO,24.66,71.0,1551153000,75.0,30.2,92.0,16.11
218,stoyba,,,,,,,,
219,carnarvon,ZA,22.13,-30.97,1551154263,0.0,58.19,42.0,7.74
220,okha,RU,142.95,53.59,1551154263,32.0,9.95,94.0,10.42
221,shubarkuduk,KZ,56.49,49.15,1551154263,48.0,10.94,88.0,4.94
222,nabire,ID,135.5,-3.36,1551154263,68.0,77.0,86.0,2.48
223,sinnamary,GF,-52.96,5.38,1551154263,92.0,79.02,96.0,13.67
224,lumberton,US,-94.2,30.27,1551154208,90.0,53.6,87.0,6.93
225,dzitas,MX,-88.52,20.85,1551154264,12.0,75.29,71.0,4.72
226,aykhal,RU,111.51,65.95,1551154264,44.0,8.1,68.0,9.19
227,puerto ayora,EC,-90.35,-0.74,1551154264,88.0,76.86,100.0,4.94
228,bugene,TZ,31.14,-1.59,1551154264,0.0,56.39,90.0,2.26
229,binga,ZW,27.34,-17.62,1551154265,0.0,71.55,92.0,5.17
230,yeniseysk,RU,92.17,58.45,1551154265,80.0,18.0,80.0,5.5
231,grand river south east,,,,,,,,
232,arraial do cabo,BR,-42.02,-22.97,1551154265,64.0,76.86,93.0,4.38
233,owensboro,US,-87.11,37.77,1551154217,1.0,36.0,64.0,1.7
234,constitucion,MX,-104.67,23.99,1551149100,5.0,62.6,29.0,3.36
235,shenjiamen,CN,122.3,29.96,1551154265,0.0,51.93,88.0,10.65
236,sur,OM,59.53,22.57,1551154266,0.0,67.77,100.0,20.94
237,louisbourg,,,,,,,,
238,buenavista,CO,-75.74,4.36,1551150000,75.0,71.6,78.0,3.36
239,harper,US,-99.24,30.3,1551154042,90.0,57.99,82.0,9.17
240,port hardy,CA,-127.42,50.7,1551150000,5.0,37.4,32.0,21.92
241,wardha,IN,78.6,20.75,1551151800,75.0,75.2,33.0,2.24
242,zhuhai,CN,112.04,40.71,1551153600,40.0,33.8,80.0,2.24
243,mahebourg,MU,57.7,-20.41,1551154142,40.0,82.0,88.0,6.93
244,sao miguel do araguaia,BR,-50.16,-13.28,1551154268,24.0,73.8,96.0,4.38
245,awjilah,LY,21.3,29.14,1551154268,0.0,39.65,84.0,4.05
246,souillac,FR,-0.6,45.6,1551154243,0.0,44.6,86.0,7.4
247,bhor,IN,73.84,18.15,1551154268,0.0,63.81,68.0,2.15
248,urumqi,,,,,,,,
249,butaritari,KI,172.79,3.07,1551154269,68.0,83.84,100.0,17.13
250,san quintin,PH,120.52,17.54,1551154269,36.0,82.8,52.0,3.04
251,chino valley,US,-112.45,34.76,1551154267,1.0,42.8,69.0,5.82
252,port lincoln,AU,135.86,-34.72,1551154269,0.0,78.39,65.0,12.66
253,geraldton,CA,-86.95,49.72,1551150000,5.0,-11.21,69.0,5.82
254,itaueira,BR,-43.03,-7.6,1551154269,32.0,69.48,95.0,2.93
255,beringovskiy,RU,179.32,63.05,1551154270,88.0,32.31,96.0,33.13
256,hambantota,LK,81.12,6.12,1551150600,40.0,82.4,88.0,9.17
257,vinh,VN,105.69,18.67,1551154271,80.0,68.27,97.0,3.94
258,pitimbu,BR,-34.81,-7.47,1551153600,20.0,78.8,88.0,3.36
259,nemuro,JP,145.57,43.32,1551150000,20.0,32.0,100.0,5.82
260,flinders,AU,150.85,-34.58,1551154222,0.0,87.01,30.0,8.05
261,ibirite,BR,-44.06,-20.02,1551153600,0.0,75.2,73.0,2.24
262,tabiauea,,,,,,,,
263,yurimaguas,PE,-76.1,-5.9,1551154271,24.0,75.2,90.0,1.48
264,poum,MK,20.71,41.28,1551154271,0.0,7.7,80.0,1.7
265,sulangan,PH,123.72,11.14,1551154272,0.0,78.3,100.0,12.21
266,oga,NG,5.65,8.18,1551154272,80.0,70.7,97.0,4.72
267,thompson,CA,-97.86,55.74,1551150000,20.0,-13.01,62.0,9.17
268,south lake tahoe,US,-119.98,38.93,1551154215,90.0,43.0,56.0,17.22
269,achalpur,IN,77.51,21.25,1551154272,0.0,71.01,34.0,6.06
270,rio gallegos,AR,-69.22,-51.62,1551150000,40.0,51.8,76.0,20.8
271,margate,AU,147.26,-43.03,1551154274,75.0,66.0,55.0,16.11
272,ambilobe,MG,49.05,-13.19,1551154276,76.0,70.74,96.0,2.71
273,varna,BG,27.9,43.22,1551151800,0.0,30.2,58.0,12.75
274,upernavik,GL,-56.15,72.79,1551154135,36.0,2.07,100.0,6.96
275,ternate,PH,120.72,14.29,1551154090,40.0,88.0,51.0,6.93
276,ulladulla,AU,150.48,-35.36,1551153636,0.0,86.0,30.0,8.05
277,santa maria,BR,-53.81,-29.69,1551150000,90.0,66.2,93.0,3.36
278,zinder,NE,8.99,13.81,1551154278,32.0,64.22,68.0,2.71
279,tautira,PF,-149.15,-17.73,1551153791,75.0,86.0,70.0,6.93
280,alta floresta,BR,-56.08,-9.87,1551150000,20.0,75.2,94.0,2.24
281,kaputa,ZM,29.66,-8.47,1551154279,44.0,62.69,98.0,1.92
282,kiruna,SE,20.23,67.86,1551153000,0.0,30.2,80.0,6.93
283,zunyi,CN,106.92,27.73,1551154279,92.0,43.25,98.0,6.96
284,auki,NG,6.51,12.18,1551154279,68.0,67.41,50.0,2.82
285,kamenskoye,,,,,,,,
286,singaraja,ID,115.08,-8.11,1551154279,0.0,83.88,79.0,1.7
287,tomatlan,MX,-105.25,19.93,1551154280,0.0,70.52,94.0,2.82
288,tsihombe,,,,,,,,
289,bakchar,RU,82.07,57.02,1551154280,76.0,10.53,78.0,7.63
290,uvat,RU,68.9,59.14,1551154280,88.0,20.43,89.0,6.73
291,pierre,US,-100.35,44.37,1551154101,90.0,-0.01,77.0,6.93
292,ukiah,US,-123.21,39.15,1551153999,90.0,54.0,87.0,10.29
293,palana,RU,159.95,59.08,1551154280,68.0,-5.4,53.0,7.4
294,mount isa,AU,139.49,-20.73,1551153600,40.0,89.6,43.0,6.93
295,burgeo,CA,-57.61,47.61,1551154281,88.0,31.86,100.0,30.0
296,paita,PE,-81.11,-5.09,1551154281,24.0,75.02,85.0,5.39
297,linhares,BR,-40.06,-19.38,1551154281,24.0,79.47,83.0,6.96
298,peniche,PT,-9.38,39.36,1551154242,0.0,53.6,66.0,6.93
299,ngunguru,NZ,174.5,-35.62,1551154084,88.0,72.0,62.0,11.99
300,greymouth,NZ,171.21,-42.45,1551154282,8.0,62.6,86.0,6.17
301,te anau,NZ,167.72,-45.41,1551154282,20.0,62.91,50.0,11.65
302,hasaki,JP,140.83,35.73,1551153876,75.0,52.0,43.0,12.75
303,mergui,,,,,,,,
304,dano,BF,-3.06,11.14,1551154282,0.0,63.59,27.0,7.63
305,japura,ID,102.29,-0.42,1551154283,92.0,79.07,90.0,1.14
306,karratha,AU,116.85,-20.74,1551154283,0.0,99.09,32.0,4.38
307,the valley,AI,-63.06,18.22,1551153704,40.0,77.0,73.0,11.41
308,longonjo,AO,15.25,-12.91,1551154283,80.0,61.11,96.0,2.59
309,amderma,,,,,,,,
310,mys shmidta,,,,,,,,
311,turukhansk,RU,87.96,65.8,1551154283,80.0,14.67,80.0,21.61
312,george,NG,3.35,6.63,1551150000,20.0,78.8,94.0,2.24
313,huallanca,PE,-76.94,-9.9,1551154284,44.0,39.51,99.0,2.71
314,lompoc,US,-120.46,34.64,1551153944,1.0,53.6,93.0,2.59
315,zapolyarnyy,RU,30.82,69.43,1551153000,75.0,23.0,79.0,6.93
316,mogadishu,SO,45.34,2.04,1551154017,64.0,79.38,100.0,20.27
317,laguna,MX,-110.01,27.52,1551154285,24.0,57.15,56.0,2.71
318,arlit,NE,7.39,18.74,1551154285,8.0,58.05,56.0,2.71
319,bintulu,MY,113.03,3.17,1551150000,75.0,84.2,74.0,4.7
320,clyde river,CA,-68.59,70.47,1551150000,1.0,-27.41,74.0,6.93
321,rio claro,BR,-47.56,-22.41,1551154286,64.0,66.69,95.0,5.17
322,namibe,AO,12.15,-15.19,1551154286,48.0,75.42,100.0,7.85
323,sioux lookout,CA,-91.92,50.1,1551150000,5.0,-11.21,75.0,4.7
324,olinda,EC,-79.75,-2.03,1551154210,75.0,82.4,83.0,10.29
325,isangel,VU,169.27,-19.55,1551154287,48.0,82.17,100.0,9.64
