,City,Country,Longitude,Latitude,Date,Cloudiness,Temperature Max,Humidity,Wind speed
326,tra vinh,VN,106.35,9.93,1551154287,0.0,86.9,60.0,15.23
327,empalme,MX,-110.81,27.96,1551154222,0.0,55.99,68.0,1.99
328,avera,US,-82.53,33.19,1551154230,1.0,48.2,70.0,4.38
329,necochea,AR,-58.74,-38.55,1551154007,12.0,51.01,83.0,5.01
330,dingle,PH,122.67,11.0,1551154288,0.0,84.74,46.0,12.21
331,lac du bonnet,CA,-96.06,50.25,1551154172,0.0,-10.0,75.0,3.0
332,amapa,HN,-87.97,15.09,1551153600,40.0,78.8,78.0,6.93
333,acarau,,,,,,,,
334,ust-kamchatsk,,,,,,,,
335,bilibino,RU,166.44,68.06,1551154289,76.0,-12.92,57.0,3.15
336,old road,,,,,,,,
337,pervomaysk,RU,43.81,54.87,1551154290,92.0,25.74,89.0,3.04
338,carutapera,BR,-46.02,-1.2,1551154290,92.0,73.53,100.0,5.17
339,victoria,BN,115.24,5.28,1551151800,75.0,87.8,79.0,8.05
340,vardo,US,-77.74,39.62,1551154255,1.0,37.99,21.0,12.75
341,vila do maio,CV,-23.22,15.13,1551150000,8.0,68.0,68.0,18.34
342,tame,CO,-71.72,6.46,1551154291,0.0,45.0,72.0,1.92
343,ao luk,,,,,,,,
344,tomaszow lubelski,PL,23.42,50.45,1551154020,92.0,37.99,81.0,4.0
345,pergamino,AR,-60.57,-33.9,1551154235,0.0,55.99,76.0,1.99
346,cabo san lucas,MX,-109.91,22.89,1551153963,5.0,66.0,63.0,4.7
347,sijunjung,ID,100.95,-0.69,1551154292,68.0,73.94,97.0,2.93
348,ixtapa,MX,-105.21,20.71,1551154210,5.0,72.0,94.0,1.7
349,vila velha,BR,-38.6,-3.71,1551153600,20.0,77.0,88.0,2.24
350,qixingtai,CN,111.89,30.41,1551154265,92.0,48.0,82.0,4.16
351,morondava,MG,44.28,-20.3,1551154292,56.0,76.1,100.0,2.37
352,sobolevo,RU,31.9,54.43,1551154293,92.0,32.72,93.0,14.0
353,barabinsk,RU,78.35,55.35,1551154293,56.0,9.05,84.0,10.98
354,merrill,US,-121.6,42.03,1551154264,90.0,33.8,100.0,10.29
355,trincomalee,LK,81.23,8.58,1551154293,32.0,81.18,84.0,4.05
356,christchurch,NZ,172.64,-43.53,1551153916,8.0,70.0,49.0,17.22
357,lagoa,PT,-8.45,37.14,1551154029,0.0,57.2,67.0,17.22
358,gravdal,NO,5.78,59.79,1551154239,76.0,44.01,87.0,11.41
359,yumen,CN,97.04,40.29,1551154294,0.0,24.84,50.0,3.15
360,ola,RU,151.3,59.58,1551154294,44.0,5.22,100.0,12.44
361,khandyga,RU,135.58,62.65,1551154295,0.0,-14.27,63.0,3.27
362,puerto penasco,MX,-113.53,31.32,1551153674,0.0,55.99,78.0,5.73
363,nyurba,RU,118.35,63.29,1551154295,48.0,19.71,60.0,10.42
364,studena,BG,23.12,42.54,1551154265,0.0,26.6,68.0,8.05
365,yanaul,RU,54.93,56.27,1551154295,76.0,10.44,84.0,9.42
366,marondera,ZW,31.55,-18.19,1551154295,0.0,56.39,86.0,1.81
367,salalah,OM,54.1,17.01,1551149400,0.0,80.6,39.0,14.99
368,chapleau,CA,-83.4,47.85,1551154296,44.0,1.62,57.0,6.4
369,high level,CA,-117.13,58.52,1551150000,90.0,6.8,84.0,2.24
370,znamenka,RU,41.44,52.41,1551154296,88.0,28.71,94.0,7.18
371,kloulklubed,PW,134.26,7.04,1551153000,75.0,84.2,70.0,11.41
372,maceio,BR,-35.74,-9.67,1551153600,40.0,77.0,88.0,4.7
373,yilan,TW,121.75,24.75,1551154255,75.0,66.2,72.0,14.99
374,ilulissat,GL,-51.1,69.22,1551149400,56.0,10.4,85.0,6.93
375,north bend,US,-124.22,43.41,1551154227,20.0,37.99,93.0,5.82
376,rocha,UY,-54.34,-34.48,1551154297,0.0,47.79,79.0,3.94
377,nantucket,US,-70.1,41.28,1551154155,20.0,30.2,46.0,17.22
378,nalut,LY,10.98,31.86,1551154297,76.0,38.7,95.0,3.71
379,lata,IN,78.62,30.78,1551154297,68.0,31.82,87.0,1.92
380,jiroft,,,,,,,,
381,beloha,MG,45.06,-25.17,1551154298,0.0,72.0,87.0,3.15
382,aguada de pasajeros,CU,-80.85,22.38,1551149520,0.0,71.6,88.0,4.7
383,polovinnoye,RU,65.99,54.79,1551154298,48.0,8.55,85.0,7.18
384,edgewater,US,-80.9,28.99,1551154109,1.0,66.99,93.0,11.65
385,talbahat,IN,78.43,25.05,1551154298,12.0,59.72,70.0,4.61
386,sikandra rao,IN,78.38,27.69,1551154298,0.0,56.97,80.0,10.09
387,grand-santi,GF,-54.38,4.27,1551154299,0.0,75.02,84.0,4.27
388,anloga,GH,0.9,5.79,1551150000,40.0,80.6,88.0,4.7
389,warwick,US,-71.42,41.7,1551154297,20.0,30.2,42.0,18.34
390,haines junction,CA,-137.51,60.75,1551154299,0.0,1.62,79.0,1.92
391,balkhash,KZ,74.98,46.84,1551151800,0.0,12.2,85.0,15.66
392,vavoua,CI,-6.48,7.38,1551154300,8.0,77.22,76.0,4.16
393,saldanha,PT,-6.55,41.42,1551154300,0.0,33.03,77.0,2.59
394,augustow,PL,22.98,53.84,1551153694,76.0,35.01,94.0,11.43
395,longyearbyen,NO,15.63,78.22,1551153000,40.0,-4.01,58.0,2.24
396,along,IN,94.8,28.17,1551154300,92.0,50.58,96.0,1.7
397,vila franca do campo,PT,-25.43,37.72,1551154272,20.0,55.0,71.0,26.4
398,pipar,,,,,,,,
399,vilyuysk,RU,121.63,63.75,1551154301,56.0,17.15,82.0,8.63
400,benjamin constant,BR,-70.03,-4.38,1551153600,75.0,77.0,100.0,3.36
401,bageshwar,IN,79.77,29.85,1551154301,48.0,35.1,75.0,2.26
402,nanortalik,GL,-45.24,60.14,1551154301,24.0,34.07,97.0,9.08
403,chuncheng,CN,111.79,22.17,1551154010,92.0,66.99,69.0,0.92
404,ignatovka,RU,47.65,53.95,1551154302,92.0,22.86,93.0,5.39
405,mopti,ML,-4.19,14.49,1551150000,0.0,62.6,67.0,13.87
406,faanui,PF,-151.75,-16.48,1551154302,32.0,83.97,100.0,6.51
407,tombouctou,ML,-3.01,16.77,1551154302,0.0,57.24,36.0,14.12
408,ayr,GB,-4.63,55.46,1551154118,20.0,41.0,96.0,10.54
409,aguimes,ES,-15.45,27.91,1551154236,20.0,60.8,93.0,11.41
410,pedernales,EC,-80.05,0.07,1551154303,92.0,75.06,91.0,3.38
411,san jose,PH,120.99,15.79,1551154209,20.0,80.1,69.0,2.93
412,ilhabela,BR,-45.36,-23.78,1551154304,76.0,77.67,100.0,1.14
413,saint-leu,RE,55.28,-21.15,1551154234,0.0,84.99,61.0,4.7
414,kishangarh,IN,74.86,26.59,1551154304,68.0,57.96,47.0,6.29
415,codrington,AU,153.24,-28.95,1551154026,88.0,82.4,42.0,10.29
416,conde,BR,-37.61,-11.81,1551154068,8.0,79.74,94.0,10.42
417,haizhou,CN,119.13,34.58,1551154304,80.0,44.73,83.0,9.19
418,prainha,BR,-53.48,-1.8,1551154305,76.0,75.92,96.0,3.15
419,half moon bay,US,-122.43,37.46,1551154290,90.0,57.2,76.0,23.04
420,bubaque,GW,-15.83,11.28,1551154305,0.0,78.39,95.0,14.56
421,kranuan,TH,103.08,16.71,1551153600,75.0,86.0,62.0,5.82
422,tasiilaq,GL,-37.64,65.61,1551149400,92.0,28.4,92.0,5.82
423,tiksi,RU,128.87,71.64,1551154306,56.0,-1.94,69.0,2.71
424,suixi,CN,116.76,33.92,1551154306,92.0,45.27,76.0,10.31
425,bambous virieux,MU,57.76,-20.34,1551154142,40.0,82.0,88.0,6.93
426,formiga,BR,-45.43,-20.46,1551154306,24.0,66.87,94.0,3.38
427,qesarya,IL,34.9,32.52,1551153781,20.0,66.2,48.0,12.75
428,santa maria del oro,MX,-105.37,25.95,1551154307,0.0,50.9,26.0,5.39
429,turan,RU,93.92,52.15,1551154166,36.0,3.02,72.0,1.92
430,yalvac,TR,31.18,38.3,1551154307,92.0,35.46,99.0,2.71
431,le port,FR,1.37,42.87,1551154148,0.0,43.0,43.0,1.48
432,bull savanna,JM,-77.59,17.89,1551154308,0.0,66.78,87.0,2.93
433,kununurra,AU,128.74,-15.77,1551153600,40.0,95.0,50.0,6.93
434,ekhabi,RU,142.97,53.51,1551154308,32.0,9.95,94.0,10.42
435,nuevo progreso,US,-97.95,26.05,1551154290,90.0,69.01,77.0,6.93
436,college,US,-147.8,64.86,1551154207,1.0,21.99,85.0,2.59
437,srednekolymsk,RU,153.71,67.46,1551154309,0.0,-15.75,69.0,3.38
438,scarborough,GB,-0.41,54.28,1551154266,0.0,48.0,100.0,2.24
439,mrirt,,,,,,,,
440,soyo,AO,12.37,-6.13,1551154309,92.0,77.85,93.0,2.59
441,victoria point,AU,153.3,-27.58,1551154301,75.0,81.0,53.0,14.99
442,rosarito,CO,-75.23,4.91,1551150000,40.0,71.6,83.0,2.24
443,port hueneme,US,-119.2,34.15,1551154292,1.0,55.4,87.0,4.7
444,saint-georges,CA,-70.67,46.12,1551153645,68.0,8.01,85.0,11.01
445,tampere,FI,23.76,61.5,1551153970,90.0,35.6,93.0,8.05
446,moron,VE,-68.2,10.49,1551154311,88.0,67.14,95.0,3.6
447,omboue,GA,9.26,-1.57,1551154311,56.0,82.89,100.0,5.17
448,mao,DO,-71.08,19.55,1551154219,20.0,75.99,88.0,4.7
449,puerto narino,CO,-70.38,-3.77,1551153600,75.0,77.0,100.0,3.36
450,leningradskiy,RU,178.42,69.38,1551154311,80.0,-4.59,93.0,6.17
451,boende,CD,20.88,-0.28,1551154311,20.0,75.96,86.0,3.71
452,pirovskoye,RU,92.27,57.63,1551154312,68.0,16.47,75.0,7.52
453,sumbawa,,,,,,,,
454,finnsnes,NO,17.98,69.23,1551153748,88.0,33.8,80.0,21.92
455,mwene-ditu,CD,23.45,-7.01,1551154312,20.0,68.0,87.0,2.82
456,gubkin,RU,37.53,51.28,1551154312,88.0,31.32,92.0,12.33
457,cap-aux-meules,CA,-61.86,47.38,1551150000,90.0,23.0,85.0,29.97
458,tigil,RU,158.67,57.8,1551154313,20.0,-1.98,69.0,8.08
459,shishou,CN,112.42,29.72,1551154313,92.0,47.07,100.0,7.4
460,tessalit,ML,1.01,20.2,1551154313,0.0,48.15,35.0,11.43
461,kaeo,NZ,173.78,-35.1,1551154084,80.0,78.01,62.0,11.99
462,someren,NL,5.71,51.39,1551154313,90.0,41.0,73.0,3.36
463,yuzhno-yeniseyskiy,,,,,,,,
464,lolua,,,,,,,,
465,padang,ID,100.36,-0.92,1551154314,44.0,83.88,100.0,2.26
466,esteli,NI,-86.35,13.09,1551154212,20.0,66.0,83.0,5.99
467,shambu,ET,37.1,9.57,1551154314,0.0,46.85,86.0,2.59
468,saint anthony,US,-111.68,43.97,1551154252,90.0,37.0,100.0,12.75
469,iralaya,HN,-83.23,15.0,1551154314,8.0,78.17,87.0,11.54
470,aswan,EG,32.9,24.09,1551154314,48.0,68.45,41.0,11.32
471,roebourne,AU,117.15,-20.77,1551154314,0.0,99.09,32.0,4.38
472,itarema,BR,-39.92,-2.92,1551154315,88.0,77.09,94.0,6.4
473,jacksonville,US,-81.66,30.33,1551154308,75.0,60.8,58.0,5.82
474,baiyin,CN,104.13,36.55,1551153600,90.0,32.0,98.0,2.24
475,alofi,NU,-169.92,-19.06,1551150000,90.0,82.4,83.0,6.93
476,boddam,GB,-1.78,57.47,1551154307,36.0,51.01,78.0,4.7
477,bengkulu,,,,,,,,
478,dennery,LC,-60.89,13.9,1551154232,20.0,77.0,73.0,23.04
479,bukoba,TZ,31.81,-1.33,1551150000,0.0,66.2,88.0,1.59
480,pemberton,AU,116.03,-34.44,1551154129,100.0,93.0,41.0,1.99
481,salinopolis,BR,-47.36,-0.61,1551154317,80.0,74.88,100.0,4.38
482,anadyr,RU,177.51,64.73,1551153796,90.0,28.4,92.0,53.69
483,higuey,,,,,,,,
484,storm lake,US,-95.21,42.64,1551154212,90.0,-0.41,84.0,14.99
485,astoria,US,-123.83,46.19,1551154205,90.0,39.99,74.0,4.7
486,saryshagan,,,,,,,,
487,corinto,BR,-44.46,-18.36,1551154317,20.0,72.27,87.0,2.71
488,russell,AR,-68.8,-33.01,1551150000,0.0,62.6,42.0,3.36
489,yayva,RU,57.26,59.33,1551154258,80.0,14.0,74.0,3.0
490,dawlatabad,AF,64.91,36.41,1551154318,0.0,30.42,70.0,7.74
491,topolobampo,MX,-109.05,25.6,1551154096,20.0,59.0,82.0,9.17
492,yomitan,,,,,,,,
493,porto novo,BR,-45.44,-23.68,1551154319,56.0,68.0,100.0,2.71
494,quatre cocos,MU,57.76,-20.21,1551154142,40.0,82.0,88.0,6.93
495,taber,CA,-112.14,49.79,1551153848,90.0,-9.01,76.0,6.93
496,san rafael,AR,-68.33,-34.61,1551154320,0.0,49.5,43.0,5.06
497,bonfim,BR,-44.24,-20.33,1551150000,0.0,75.2,69.0,4.7
498,san jeronimo,PE,-73.37,-13.65,1551154320,92.0,45.72,96.0,1.92
499,ilo,PE,-71.34,-17.65,1551154321,0.0,63.59,94.0,3.38
500,dagda,LV,27.54,56.09,1551154321,92.0,30.24,89.0,16.8
501,cururupu,BR,-44.87,-1.82,1551154321,64.0,75.96,96.0,4.61
502,wangou,CN,126.91,42.06,1551154321,0.0,28.62,73.0,3.6
503,shakawe,BW,21.84,-18.36,1551154321,0.0,69.44,63.0,2.93
504,aketi,CD,23.78,2.74,1551154322,32.0,72.9,89.0,2.04
505,hinton,CA,-117.57,53.4,1551154322,0.0,-7.61,66.0,2.15
506,andarab,,,,,,,,
507,aleksandro-nevskiy,RU,40.21,53.48,1551154322,88.0,31.32,95.0,9.64
508,mantua,IT,10.79,45.16,1551154272,0.0,48.99,86.0,4.7
509,tiarei,PF,-149.33,-17.53,1551153791,75.0,86.0,70.0,6.93
510,cotonou,BJ,2.43,6.37,1551154323,68.0,79.47,89.0,4.38
511,hope,CA,-121.43,49.38,1551154270,1.0,32.0,36.0,8.05
512,el alto,BO,-68.19,-16.5,1551153600,75.0,46.4,75.0,3.36
513,shenzhen,CN,114.05,22.54,1551154160,75.0,69.8,73.0,11.18
514,uyuni,BO,-66.82,-20.46,1551154324,80.0,46.8,63.0,2.04
515,kavaratti,IN,72.64,10.57,1551154324,32.0,81.99,100.0,9.98
516,nuuk,GL,-51.74,64.17,1551149400,32.0,21.2,85.0,12.75
517,oktyabrskoye,RU,85.44,56.73,1551154230,40.0,15.01,78.0,15.66
518,maxixe,MZ,35.35,-23.86,1551154325,56.0,76.23,97.0,2.15
519,szczytno,PL,20.99,53.57,1551154325,44.0,30.51,89.0,11.43
520,huarmey,PE,-78.15,-10.07,1551154325,48.0,68.99,82.0,3.15
521,totness,US,-80.8,33.74,1551154297,1.0,44.6,70.0,3.6
522,cockburn town,TC,-71.14,21.46,1551154255,0.0,76.95,100.0,19.37
523,bhadrak,IN,86.51,21.06,1551154325,92.0,70.02,99.0,4.72
524,ketchikan,US,-131.65,55.34,1551153360,1.0,39.2,34.0,6.93
525,krasnoselkup,,,,,,,,
526,belaya gora,RU,146.19,68.54,1551154326,0.0,-24.21,36.0,2.93
527,sistranda,NO,8.83,63.73,1551154241,75.0,45.0,93.0,14.99
528,kieta,PG,155.63,-6.22,1551154326,20.0,79.7,100.0,2.26
529,lichinga,MZ,35.25,-13.3,1551150000,0.0,62.6,82.0,5.82
530,cayenne,GF,-52.33,4.94,1551153600,92.0,78.8,78.0,9.17
531,yar-sale,RU,70.83,66.83,1551154327,92.0,16.29,100.0,24.29
532,mariental,DE,10.99,52.28,1551154308,20.0,36.0,89.0,8.19
533,vila,IT,8.4,45.18,1551154325,0.0,45.0,80.0,5.82
534,hunza,,,,,,,,
535,iquique,CL,-70.14,-20.22,1551153600,0.0,69.8,73.0,6.93
536,kedrovyy,RU,91.82,56.17,1551151800,0.0,8.6,78.0,4.27
537,slave lake,CA,-114.77,55.28,1551150000,1.0,-7.61,69.0,3.36
538,trairi,BR,-39.27,-3.28,1551154328,80.0,80.1,100.0,10.2
539,broome,GB,1.45,52.47,1551154325,0.0,39.99,80.0,2.24
540,dali,CN,100.24,25.6,1551154328,32.0,56.75,62.0,2.59
541,praia da vitoria,PT,-27.07,38.73,1551153694,20.0,48.99,87.0,27.31
542,pyapon,MM,95.68,16.29,1551154329,0.0,81.77,80.0,4.38
543,shimoda,JP,138.93,34.7,1551154211,75.0,59.0,71.0,16.11
544,khonuu,,,,,,,,
545,ballinasloe,IE,-8.22,53.33,1551154329,76.0,45.0,78.0,7.96
546,chapais,CA,-74.86,49.78,1551150000,90.0,-9.41,69.0,14.99
547,fuling,CN,107.39,29.71,1551154330,92.0,48.96,99.0,3.38
548,kahului,US,-156.47,20.89,1551153839,40.0,77.0,60.0,10.29
549,pacifica,US,-122.49,37.61,1551154093,90.0,55.99,76.0,23.04
550,macomb,US,-90.67,40.46,1551154051,1.0,23.0,73.0,9.17
551,fukue,JP,136.69,35.03,1551153832,0.0,59.0,40.0,18.34
552,wanaka,NZ,169.14,-44.7,1551154330,76.0,67.41,35.0,2.82
553,sarkand,KZ,79.91,45.41,1551154330,8.0,11.97,46.0,2.48
554,mabaruma,GY,-59.78,8.2,1551154331,0.0,76.23,85.0,6.4
555,bolungarvik,,,,,,,,
556,almaznyy,RU,40.04,48.03,1551151800,40.0,32.0,92.0,11.18
557,bengbu,CN,117.38,32.92,1551154331,92.0,45.81,87.0,13.78
558,brownsville,US,-97.49,25.91,1551154103,90.0,69.01,93.0,8.05
559,oussouye,SN,-16.54,12.49,1551154331,0.0,72.0,78.0,12.66
560,karachi,PK,67.03,24.87,1551151800,20.0,69.8,77.0,4.7
561,pascagoula,US,-88.56,30.37,1551154255,90.0,59.0,66.0,5.95
562,colares,PT,-9.45,38.8,1551154290,0.0,55.99,76.0,5.82
563,olavarria,AR,-60.32,-36.89,1551154196,0.0,48.99,64.0,7.63
564,kudahuvadhoo,MV,72.89,2.67,1551154332,88.0,82.04,100.0,9.98
565,sao miguel,BR,-61.01,4.52,1551154333,0.0,59.09,65.0,3.15
566,kodinsk,RU,99.18,58.6,1551154333,68.0,19.53,65.0,6.62
567,portland,US,-122.67,45.52,1551151364,90.0,34.0,74.0,8.05
568,bowen,AU,148.25,-20.01,1551154319,90.0,82.0,69.0,13.87
569,olafsvik,,,,,,,,
570,port-cartier,CA,-66.88,50.03,1551153673,90.0,18.0,85.0,4.7
571,labutta,,,,,,,,
572,fayaoue,NC,166.53,-20.65,1551154333,92.0,79.65,100.0,16.24
573,tiznit,MA,-9.73,29.7,1551154334,0.0,54.0,61.0,3.27
574,taoudenni,ML,-3.98,22.68,1551154334,0.0,51.89,28.0,14.67
575,jinchang,CN,102.19,38.52,1551154310,56.0,24.17,84.0,3.83
576,marsh harbour,BS,-77.06,26.54,1551154334,48.0,73.98,100.0,21.72
577,ambodifototra,,,,,,,,
578,bailen,ES,-3.78,38.1,1551153840,0.0,46.99,47.0,3.0
579,fairbanks,US,-147.72,64.84,1551153905,1.0,21.99,85.0,2.59
580,gushikawa,JP,127.87,26.35,1551153360,20.0,75.2,57.0,8.05
581,tsiroanomandidy,MG,46.05,-18.77,1551154335,32.0,58.19,91.0,2.71
582,yulara,AU,130.99,-25.24,1551153600,0.0,102.2,10.0,8.05
583,caravelas,BR,-39.27,-17.73,1551154335,12.0,83.84,100.0,19.26
584,itapua poty,,,,,,,,
585,pangnirtung,CA,-65.72,66.15,1551154335,36.0,-18.9,80.0,3.83
586,porbandar,IN,69.61,21.64,1551154336,0.0,71.55,81.0,6.96
587,menongue,AO,17.68,-14.66,1551154336,76.0,71.69,63.0,2.93
588,smithers,CA,-127.17,54.78,1551150000,5.0,6.8,71.0,3.36
589,podosinovets,RU,47.06,60.28,1551154336,92.0,27.14,93.0,3.6
590,yarovoye,RU,78.56,52.92,1551154339,36.0,3.69,63.0,5.73
591,arroyo,US,-78.88,41.39,1551154216,1.0,21.99,67.0,9.17
592,dolbeau,,,,,,,,
593,ancud,CL,-73.83,-41.87,1551153600,75.0,51.8,81.0,12.75
594,bandarbeyla,SO,50.81,9.49,1551154340,88.0,76.86,100.0,9.86
595,kirkwall,GB,-2.96,58.98,1551154217,8.0,52.0,71.0,12.75
596,zvolen,SK,19.13,48.58,1551154208,0.0,44.6,56.0,10.29
597,oxbow,CA,-102.17,49.23,1551153710,75.0,-14.81,75.0,2.24
598,inhambane,MZ,35.38,-23.87,1551154341,56.0,76.23,97.0,2.15
599,lanxi,CN,119.46,29.21,1551154341,64.0,51.3,75.0,3.6
600,torgelow,DE,14.01,53.63,1551154226,75.0,41.0,93.0,9.17
601,kermanshah,IR,47.07,34.32,1551151800,0.0,32.0,70.0,2.71
602,vaike-maarja,EE,26.25,59.13,1551154341,80.0,32.72,94.0,10.42
603,cairns,AU,145.77,-16.92,1551153600,32.0,86.0,62.0,21.92
604,tazovskiy,RU,78.7,67.47,1551154225,80.0,16.07,85.0,25.86
605,zykovo,RU,40.35,55.24,1551154161,32.0,32.0,100.0,1.99
606,osa,RU,55.46,57.28,1551154342,76.0,10.94,82.0,7.63
607,emporia,US,-96.18,38.4,1551154206,1.0,39.0,86.0,11.41
608,sabzevar,IR,57.68,36.21,1551154097,0.0,23.22,72.0,3.15
609,curvelo,BR,-44.43,-18.76,1551154342,20.0,72.27,87.0,2.71
610,kochki,RU,80.49,54.33,1551154342,64.0,12.69,89.0,9.53
611,kalaleh,IR,55.49,37.38,1551150000,40.0,39.2,93.0,3.04
612,ryazanskaya,RU,39.59,44.96,1551153953,75.0,39.0,93.0,15.66
613,deer lake,CA,-57.43,49.18,1551150000,90.0,23.0,85.0,8.05
614,fort-shevchenko,KZ,50.26,44.51,1551154290,88.0,35.6,98.0,14.56
615,yekaterinoslavka,RU,72.46,54.34,1551154343,36.0,3.6,72.0,2.82
616,erenhot,CN,111.97,43.65,1551154343,80.0,31.95,41.0,3.04
617,waingapu,ID,120.26,-9.65,1551154343,12.0,85.05,83.0,4.16
618,deputatskiy,RU,139.9,69.3,1551154343,0.0,-22.19,60.0,2.71
619,maniitsoq,GL,-52.9,65.42,1551154344,0.0,8.82,77.0,3.04
620,roma,IT,12.48,41.89,1551154332,0.0,43.0,80.0,5.82
621,tarko-sale,RU,77.78,64.92,1551154148,92.0,19.0,87.0,20.27
622,urdzhar,,,,,,,,
623,terenos,BR,-54.87,-20.44,1551153600,0.0,77.0,83.0,9.17
624,yarada,IN,83.27,17.65,1551153600,20.0,82.4,69.0,5.82
625,thunder bay,CA,-89.26,48.41,1551154241,5.0,-3.0,63.0,9.17
626,kargasok,RU,80.87,59.06,1551154345,80.0,14.09,73.0,6.85
627,port-gentil,GA,8.78,-0.72,1551154345,56.0,81.45,98.0,3.71
628,huancavelica,PE,-74.97,-12.79,1551154345,92.0,41.72,100.0,2.15
629,flin flon,CA,-101.88,54.77,1551154345,0.0,-6.21,56.0,6.73
630,bardiyah,,,,,,,,
631,jiuquan,CN,98.49,39.73,1551154345,0.0,12.42,61.0,3.71
632,kampot,KH,104.18,10.62,1551153600,40.0,86.0,55.0,16.11
633,port macquarie,AU,152.91,-31.43,1551153845,90.0,81.0,50.0,17.22
634,porto-vecchio,FR,9.28,41.59,1551151800,0.0,55.4,71.0,4.7
635,emerald,AU,148.16,-23.53,1551154117,40.0,90.0,27.0,11.41
636,vao,EE,26.19,59.1,1551154347,80.0,32.72,94.0,10.42
637,buala,SB,159.59,-8.15,1551154347,92.0,83.97,83.0,7.74
638,baghdad,IQ,44.38,33.3,1551153600,0.0,48.2,81.0,1.12
639,kosh-agach,RU,88.66,49.99,1551154347,0.0,-5.36,63.0,2.59
640,matara,PE,-72.9,-13.74,1551154347,92.0,45.72,96.0,1.92
641,tikrit,IQ,43.68,34.62,1551154348,0.0,38.34,77.0,3.71
642,gorontalo,ID,123.06,0.54,1551154348,24.0,83.16,72.0,2.26
643,alice springs,AU,133.88,-23.7,1551153600,0.0,96.8,13.0,12.75
644,san carlos de bariloche,AR,-71.31,-41.13,1551153600,0.0,42.8,70.0,6.93
